-20,-72,10
-27,-75,9
-27,-75,8
-22,-72,14
-17,-64,19
-10,-46,17
-7,-54,11
-6,-59,10
-9,-66,6
-12,-67,5
-18,-62,5
-19,-51,6
-19,-48,9
-18,-48,12
-18,-49,14
-16,-49,16
-15,-53,21
-14,-55,23
-13,-59,25
-13,-62,26
-11,-67,22
-16,-83,20
-17,-88,21
-18,-80,18
-18,-68,16
-16,-54,13
-16,-67,12
-15,-72,12
-12,-77,9
-11,-71,7
-10,-60,4
-11,-57,2
-12,-57,2
-14,-56,2
-15,-56,1
-13,-57,-1
-12,-60,1
-12,-59,3
-11,-61,7
-10,-66,7
-13,-72,9
-14,-59,18
-14,-55,23
-11,-51,30
-7,-49,32
0,-51,29
2,-55,28
0,-59,22
-4,-59,26
-5,-58,30
-7,-56,29
-7,-58,25
-6,-60,24
-4,-61,24
-3,-61,23
-3,-61,22
-3,-60,21
-2,-58,20
-2,-58,19
-1,-58,18
0,-58,18
0,-60,19
1,-61,19
1,-58,18
1,-57,18
1,-56,20
1,-55,20
2,-53,20
-1,-54,23
-1,-54,25
-2,-56,27
-2,-56,26
-3,-54,27
-4,-53,28
-5,-53,27
-6,-55,23
-6,-57,22
-8,-75,20
-8,-84,17
-10,-79,14
-13,-74,12
-13,-72,12
-14,-64,9
-15,-57,9
-16,-55,9
-22,-56,7
-22,-58,5
-25,-56,3
-29,-54,2
-30,-55,3
-31,-58,6
-31,-59,7
-29,-62,7
-28,-66,10
-25,-67,12
-20,-69,13
-18,-70,15
-13,-67,18
-10,-67,19
-9,-68,18
-8,-66,16
-9,-66,16
-7,-64,18
-7,-63,17
-8,-59,17
-10,-54,19
-10,-48,19
-6,-40,17
-6,-47,11
-6,-52,9
-9,-61,9
-12,-63,9
-14,-60,12
-14,-59,15
-14,-57,17
-14,-59,20
-15,-62,22
-15,-62,22
-15,-64,22
-15,-64,24
-15,-63,27
-15,-63,26
-15,-64,22
-15,-67,15
-18,-76,13
-18,-83,15
-19,-79,14
-19,-62,11
-18,-54,5
-19,-61,5
-23,-71,2
-24,-73,0
-19,-69,0
-14,-64,0
-12,-64,1
-12,-64,3
-13,-64,2
-15,-63,-1
-15,-61,-1
-14,-60,0
-12,-62,2
-12,-63,4
-11,-63,6
-11,-68,10
-14,-73,12
-12,-66,16
-13,-61,18
-8,-46,27
-6,-46,25
-8,-52,22
-12,-62,16
-14,-65,15
-14,-65,17
-13,-64,20
-13,-60,26
-15,-57,26
-16,-56,24
-14,-55,21
-12,-55,19
-13,-58,20
-13,-62,23
-13,-63,23
-13,-65,20
-12,-64,17
-14,-70,12
-19,-83,17
-21,-83,18
-20,-70,15
-18,-60,11
-17,-57,7
-20,-66,8
-21,-72,9
-17,-72,9
-13,-69,7
-5,-62,7
-1,-57,8
-1,-56,7
-5,-54,7
-7,-53,7
-11,-51,6
-14,-51,5
-14,-51,5
-13,-52,8
-11,-52,8
-9,-53,9
-11,-65,9
-12,-72,11
-18,-78,14
-21,-78,18
-15,-62,24
-11,-68,18
-10,-72,14
-9,-75,7
-7,-71,6
-9,-64,6
-14,-59,12
-17,-56,13
-24,-51,11
-25,-50,12
-25,-48,11
-23,-51,16
-22,-54,20
-22,-67,24
-21,-70,24
-25,-85,19
-23,-91,18
-21,-88,16
-17,-69,16
-16,-61,14
-20,-64,11
-24,-68,8
-26,-71,5
-25,-66,-1
-23,-64,0
-18,-63,5
-29,-61,3
-31,-60,1
-31,-58,1
-33,-58,3
-34,-59,4
-31,-55,3
-30,-52,5
-33,-48,11
-33,-46,14
-31,-56,19
-29,-52,30
-29,-51,33
-28,-45,38
-28,-45,40
-24,-47,40
-24,-45,40
-28,-41,39
-31,-33,39
-33,-29,40
-35,-26,39
-36,-26,38
-35,-27,38
-36,-29,38
-38,-30,37
