sec_from_onset,eda_mean,hr_mean,eda_se,hr_se,eda_n,hr_n
2326,-0.07483135425247703,-0.028279907587726368,0.0945188928284604,0.08687669756759454,98,98
2327,-0.058022756658175724,-0.028138710487368206,0.09634721930131336,0.08659255993924066,98,98
2328,-0.031137813310475042,-0.028579404703680478,0.10163257374044035,0.08632511984291841,98,98
2329,-0.04047860346641748,-0.028620258020549124,0.10214493470269888,0.08601061417591155,98,98
2330,-0.04193907939370771,-0.029079928120659605,0.10040916291784932,0.08560471127431803,98,98
2331,-0.03598352637099026,-0.029557662779124458,0.09804408514490262,0.08520080404019753,98,98
2332,-0.03927624190392161,-0.03025576680282998,0.09776763025410407,0.08492098115684206,98,98
2333,-0.04452733729945582,-0.031006764251970246,0.09978797571873017,0.08457677989876887,98,98
2334,-0.027028848837166566,-0.030942975382404054,0.10084962601145563,0.08418626900701053,98,98
2335,-0.02978669322932558,-0.031062384111549098,0.10083041222194718,0.08387421471497905,98,98
2336,-0.030039371336935485,-0.03192353577701475,0.10055095517616086,0.08351954739034623,98,98
2337,-0.05012642392036423,-0.03189166303097921,0.09964902801072152,0.08318877336717252,98,98
2338,-0.05432294498879932,-0.03172199295834279,0.09759960026071753,0.0828751929479996,98,98
2339,-0.06163605788190001,-0.03151538260449365,0.09619894645318225,0.08257251872742086,98,98
2340,-0.05439189323035417,-0.031614330410184514,0.09645163479552328,0.08238739401837984,98,98
2341,-0.038313899426162874,-0.031363806391911775,0.0980632599916976,0.08215374595131597,98,98
2342,-0.028869371735105415,-0.03108015062690517,0.09931953085520587,0.0819660483485788,98,98
2343,-0.02145621225664753,-0.031665771973379914,0.10030193487266163,0.08191637459771804,98,98
2344,-0.0361020610133048,-0.03363540492416352,0.0998212543775259,0.0819403857198445,98,98
2345,-0.05093160317355767,-0.03578774943902866,0.09673190687976292,0.08198238888251093,98,98
2346,-0.04298144739059993,-0.038470313818432404,0.09541788798189997,0.0820236126233805,98,98
2347,-0.05206562819542358,-0.041169143116119945,0.0946823684292994,0.08193612559368361,98,98
2348,-0.03701274174182443,-0.04367107204084186,0.09770952340274967,0.08191577134655162,98,98
2349,-0.031513737909443035,-0.04516914986250947,0.09957947548034907,0.08193047017274346,98,98
2350,-0.00890092148685603,-0.04744189831378382,0.10010765211843524,0.08196265715126276,98,98
2351,-0.00031442480072109283,-0.04944355344834559,0.09899544537983032,0.0821057850683593,98,98
2352,-0.007792070361737454,-0.05258454658975375,0.09743222837682164,0.08223944351459347,98,98
2353,-0.02068801280929963,-0.056192686482787364,0.09689273242943937,0.08226247743406556,98,98
2354,-0.02852319658600264,-0.05881712921595618,0.09659236926544966,0.08230186131176631,98,98
2355,-0.017373562209211532,-0.06148916811800451,0.09658574179137754,0.082341797747571,98,98
2356,-0.02198346170277951,-0.06442839287825865,0.09891793575099186,0.08238890755305657,98,98
2357,-0.03628618321790285,-0.0672958437793766,0.10018827074250597,0.08228737694438183,98,98
2358,-0.029571749504227404,-0.07020351422419906,0.10221189113937972,0.08211962410487814,98,98
2359,-0.01831708873098387,-0.07202564549412037,0.10376867224699633,0.08192551051730883,98,98
2360,-0.022584475958459933,-0.07420709205407022,0.1022432342503989,0.08177602519004952,98,98
2361,-0.05442476236681319,-0.07655402779410811,0.10077131678117333,0.08162572289183669,98,98
2362,-0.0520237282073462,-0.07889020760625248,0.09902353871590565,0.08147500413917355,98,98
2363,-0.039882466721934594,-0.08172438364031034,0.09661397358933127,0.08136855055224587,98,98
2364,0.0008207755103318511,-0.08429396256326901,0.10318703032053123,0.08131610655850945,98,98
2365,-0.022252942260688628,-0.08768611369873112,0.11333252173305516,0.08126840270031199,97,98
2366,0.008273801866055518,-0.08748802238175997,0.12042864460436428,0.08207718412648612,97,97
2367,-0.008325984995312197,-0.09043629073563095,0.11984578232643399,0.08209610137069435,97,97
2368,-0.03067840061155141,-0.0928963486466766,0.11896284526174726,0.08207975369537134,97,97
2369,-0.023159014109334436,-0.09488288875463634,0.1177361706171666,0.08202586419385051,97,97
2370,-0.008115558216656193,-0.09659871887093706,0.11312869465055335,0.08190671480460182,97,97
2371,0.015238258692738807,-0.0980137273577267,0.11098258131491606,0.08185618750656526,97,97
2372,0.014943717362603852,-0.09969143855276075,0.1145006535555967,0.08185864827230617,97,97
2373,0.014165837667008444,-0.1008508214617436,0.11305995772671962,0.08193781360035622,97,97
2374,0.03184300348010033,-0.1027273428714145,0.1160724214999293,0.08203653062922497,97,97
2375,0.005260724217015566,-0.10519304748554625,0.11756223394001494,0.08203336247677359,97,97
2376,-0.013522080077596256,-0.10710767556984659,0.1127971288304712,0.08200283119245548,97,97
2377,-0.004158965208909935,-0.10905047196647195,0.11100594666359717,0.08193209742402724,97,97
2378,-0.01265665979069671,-0.11031283171834125,0.10889159126720309,0.08187397095519065,97,97
2379,-0.013391188670378477,-0.11136878487832436,0.10658571935385612,0.08176249400539966,97,97
2380,-0.0341346885924529,-0.11257452299926288,0.10347955471592259,0.08161747197126316,97,97
2381,-0.03378019727658064,-0.11353375676332693,0.10342764279156476,0.08148249806664565,97,97
2382,-0.042152652568594955,-0.11522273392369149,0.10374408647040267,0.08137271169253213,97,97
