-45,44,-3
-47,47,-9
-43,46,-3
-43,48,-7
-42,48,-5
-39,46,-2
-36,42,1
-37,43,4
-36,43,8
-35,43,6
-38,44,9
-44,46,4
-39,46,9
-44,48,6
-47,52,-5
-48,53,-5
-39,51,-2
-42,51,-2
-44,51,0
-42,50,-1
-45,50,1
-41,49,8
-41,47,4
-42,46,1
-35,43,7
-34,41,7
-32,41,1
-29,39,-1
-30,41,-12
-31,47,-12
-33,44,-13
-32,55,-11
-35,57,-9
-43,56,-5
-38,62,-6
-34,63,-6
-44,62,-2
-38,70,-8
-40,66,-8
-52,54,-5
-48,53,-7
-51,51,-6
-51,44,-2
-46,50,-4
-39,47,-7
-43,45,-7
-45,45,-6
-45,45,-6
-46,46,-6
-44,48,-4
-44,49,-5
-43,50,-5
-43,51,-5
-43,51,-7
-44,52,-5
-46,51,-7
-46,50,-9
-45,47,-9
-42,49,-8
-43,49,-11
-42,49,-12
-42,50,-10
-46,51,-11
-41,52,-6
-40,54,-3
-35,51,3
-29,52,8
-19,53,13
-17,54,18
-13,53,23
-15,57,18
-8,53,30
-13,54,36
-12,53,31
-14,50,34
-20,51,33
-20,52,32
-22,52,34
-15,53,41
-14,51,37
-36,50,30
-19,48,39
-25,48,28
-23,53,35
-21,49,36
-23,54,27
-21,54,23
-20,56,23
-22,56,21
-17,58,19
-16,56,23
-23,55,26
-19,55,25
-22,54,22
-24,54,30
-21,53,29
-20,51,35
-23,46,43
-26,47,38
-29,51,29
-18,50,34
